segment	clusterPicker	bootstrapType	nodeThreshold	pDistance	numSequences	clusters	singletons
1	fbp_n70_p5	FBP	70	0.05	429	41	30
1	fbp_n70_p10	FBP	70	0.1	429	23	14
1	fbp_n70_p15	FBP	70	0.15	429	4	3
1	fbp_n70_p20	FBP	70	0.2	429	4	1
1	fbp_n70_p25	FBP	70	0.25	429	3	0
1	fbp_n70_p30	FBP	70	0.3	429	3	0
1	fbp_n70_p35	FBP	70	0.35	429	3	0
1	tbe_n85_p5	TBE	0.85	0.05	429	38	23
1	tbe_n85_p10	TBE	0.85	0.1	429	10	6
1	tbe_n85_p15	TBE	0.85	0.15	429	4	3
1	tbe_n85_p20	TBE	0.85	0.2	429	4	1
1	tbe_n85_p25	TBE	0.85	0.25	429	3	0
1	tbe_n85_p30	TBE	0.85	0.3	429	3	0
1	tbe_n85_p35	TBE	0.85	0.35	429	3	0
2	fbp_n70_p5	FBP	70	0.05	727	81	59
2	fbp_n70_p10	FBP	70	0.1	727	66	21
2	fbp_n70_p15	FBP	70	0.15	727	36	8
2	fbp_n70_p20	FBP	70	0.2	727	33	7
2	fbp_n70_p25	FBP	70	0.25	727	29	4
2	fbp_n70_p30	FBP	70	0.3	727	18	3
2	fbp_n70_p35	FBP	70	0.35	727	11	0
2	tbe_n85_p5	TBE	0.85	0.05	727	74	65
2	tbe_n85_p10	TBE	0.85	0.1	727	60	27
2	tbe_n85_p15	TBE	0.85	0.15	727	36	8
2	tbe_n85_p20	TBE	0.85	0.2	727	33	7
2	tbe_n85_p25	TBE	0.85	0.25	727	29	4
2	tbe_n85_p30	TBE	0.85	0.3	727	18	3
2	tbe_n85_p35	TBE	0.85	0.35	727	12	0
3	fbp_n70_p5	FBP	70	0.05	480	42	22
3	fbp_n70_p10	FBP	70	0.1	480	19	8
3	fbp_n70_p15	FBP	70	0.15	480	6	2
3	fbp_n70_p20	FBP	70	0.2	480	5	1
3	fbp_n70_p25	FBP	70	0.25	480	2	0
3	fbp_n70_p30	FBP	70	0.3	480	2	0
3	fbp_n70_p35	FBP	70	0.35	480	2	0
3	tbe_n85_p5	TBE	0.85	0.05	480	42	25
3	tbe_n85_p10	TBE	0.85	0.1	480	21	9
3	tbe_n85_p15	TBE	0.85	0.15	480	5	4
3	tbe_n85_p20	TBE	0.85	0.2	480	5	1
3	tbe_n85_p25	TBE	0.85	0.25	480	2	0
3	tbe_n85_p30	TBE	0.85	0.3	480	2	0
3	tbe_n85_p35	TBE	0.85	0.35	480	2	0
4	fbp_n70_p5	FBP	70	0.05	440	36	20
4	fbp_n70_p10	FBP	70	0.1	440	27	11
4	fbp_n70_p15	FBP	70	0.15	440	11	4
4	fbp_n70_p20	FBP	70	0.2	440	11	4
4	fbp_n70_p25	FBP	70	0.25	440	10	2
4	fbp_n70_p30	FBP	70	0.3	440	9	2
4	fbp_n70_p35	FBP	70	0.35	440	9	2
4	tbe_n85_p5	TBE	0.85	0.05	440	36	19
4	tbe_n85_p10	TBE	0.85	0.1	440	19	5
4	tbe_n85_p15	TBE	0.85	0.15	440	6	2
4	tbe_n85_p20	TBE	0.85	0.2	440	5	2
4	tbe_n85_p25	TBE	0.85	0.25	440	4	0
4	tbe_n85_p30	TBE	0.85	0.3	440	3	0
4	tbe_n85_p35	TBE	0.85	0.35	440	3	0
5	fbp_n70_p5	FBP	70	0.05	497	42	25
5	fbp_n70_p10	FBP	70	0.1	497	27	11
5	fbp_n70_p15	FBP	70	0.15	497	20	9
5	fbp_n70_p20	FBP	70	0.2	497	20	8
5	fbp_n70_p25	FBP	70	0.25	497	18	7
5	fbp_n70_p30	FBP	70	0.3	497	18	5
5	fbp_n70_p35	FBP	70	0.35	497	18	5
5	tbe_n85_p5	TBE	0.85	0.05	497	43	19
5	tbe_n85_p10	TBE	0.85	0.1	497	21	13
5	tbe_n85_p15	TBE	0.85	0.15	497	19	11
5	tbe_n85_p20	TBE	0.85	0.2	497	19	11
5	tbe_n85_p25	TBE	0.85	0.25	497	17	9
5	tbe_n85_p30	TBE	0.85	0.3	497	2	1
5	tbe_n85_p35	TBE	0.85	0.35	497	2	1
6	fbp_n70_p5	FBP	70	0.05	572	66	50
6	fbp_n70_p10	FBP	70	0.1	572	55	32
6	fbp_n70_p15	FBP	70	0.15	572	25	9
6	fbp_n70_p20	FBP	70	0.2	572	23	8
6	fbp_n70_p25	FBP	70	0.25	572	16	4
6	fbp_n70_p30	FBP	70	0.3	572	8	1
6	fbp_n70_p35	FBP	70	0.35	572	4	1
6	tbe_n85_p5	TBE	0.85	0.05	572	64	55
6	tbe_n85_p10	TBE	0.85	0.1	572	42	35
6	tbe_n85_p15	TBE	0.85	0.15	572	24	11
6	tbe_n85_p20	TBE	0.85	0.2	572	22	10
6	tbe_n85_p25	TBE	0.85	0.25	572	15	4
6	tbe_n85_p30	TBE	0.85	0.3	572	8	1
6	tbe_n85_p35	TBE	0.85	0.35	572	4	1
7	fbp_n70_p5	FBP	70	0.05	524	56	53
7	fbp_n70_p10	FBP	70	0.1	524	44	37
7	fbp_n70_p15	FBP	70	0.15	524	25	23
7	fbp_n70_p20	FBP	70	0.2	524	10	3
7	fbp_n70_p25	FBP	70	0.25	524	7	3
7	fbp_n70_p30	FBP	70	0.3	524	7	3
7	fbp_n70_p35	FBP	70	0.35	524	7	3
7	tbe_n85_p5	TBE	0.85	0.05	524	50	53
7	tbe_n85_p10	TBE	0.85	0.1	524	28	24
7	tbe_n85_p15	TBE	0.85	0.15	524	20	9
7	tbe_n85_p20	TBE	0.85	0.2	524	10	3
7	tbe_n85_p25	TBE	0.85	0.25	524	7	3
7	tbe_n85_p30	TBE	0.85	0.3	524	2	0
7	tbe_n85_p35	TBE	0.85	0.35	524	2	0
8	fbp_n70_p5	FBP	70	0.05	463	47	31
8	fbp_n70_p10	FBP	70	0.1	463	39	27
8	fbp_n70_p15	FBP	70	0.15	463	37	25
8	fbp_n70_p20	FBP	70	0.2	463	36	24
8	fbp_n70_p25	FBP	70	0.25	463	36	24
8	fbp_n70_p30	FBP	70	0.3	463	35	23
8	fbp_n70_p35	FBP	70	0.35	463	35	23
8	tbe_n85_p5	TBE	0.85	0.05	463	43	29
8	tbe_n85_p10	TBE	0.85	0.1	463	21	13
8	tbe_n85_p15	TBE	0.85	0.15	463	17	11
8	tbe_n85_p20	TBE	0.85	0.2	463	15	10
8	tbe_n85_p25	TBE	0.85	0.25	463	15	10
8	tbe_n85_p30	TBE	0.85	0.3	463	14	9
8	tbe_n85_p35	TBE	0.85	0.35	463	2	1
9	fbp_n70_p5	FBP	70	0.05	500	43	35
9	fbp_n70_p10	FBP	70	0.1	500	27	21
9	fbp_n70_p15	FBP	70	0.15	500	28	19
9	fbp_n70_p20	FBP	70	0.2	500	28	18
9	fbp_n70_p25	FBP	70	0.25	500	28	18
9	fbp_n70_p30	FBP	70	0.3	500	26	15
9	fbp_n70_p35	FBP	70	0.35	500	26	15
9	tbe_n85_p5	TBE	0.85	0.05	500	44	35
9	tbe_n85_p10	TBE	0.85	0.1	500	26	20
9	tbe_n85_p15	TBE	0.85	0.15	500	18	12
9	tbe_n85_p20	TBE	0.85	0.2	500	18	11
9	tbe_n85_p25	TBE	0.85	0.25	500	18	11
9	tbe_n85_p30	TBE	0.85	0.3	500	11	7
9	tbe_n85_p35	TBE	0.85	0.35	500	2	3
10	fbp_n70_p5	FBP	70	0.05	705	66	122
10	fbp_n70_p10	FBP	70	0.1	705	59	96
10	fbp_n70_p15	FBP	70	0.15	705	61	90
10	fbp_n70_p20	FBP	70	0.2	705	52	89
10	fbp_n70_p25	FBP	70	0.25	705	51	88
10	fbp_n70_p30	FBP	70	0.3	705	51	88
10	fbp_n70_p35	FBP	70	0.35	705	51	88
10	tbe_n85_p5	TBE	0.85	0.05	705	55	125
10	tbe_n85_p10	TBE	0.85	0.1	705	42	94
10	tbe_n85_p15	TBE	0.85	0.15	705	40	44
10	tbe_n85_p20	TBE	0.85	0.2	705	30	36
10	tbe_n85_p25	TBE	0.85	0.25	705	30	36
10	tbe_n85_p30	TBE	0.85	0.3	705	3	16
10	tbe_n85_p35	TBE	0.85	0.35	705	3	16
