id	title	authors_short	authors_full	year	journal	volume	issue	pages	url	doi
29392882	One after the other: A novel Bluetongue virus strain related to Toggenburg virus detected in the Piedmont region (North-western Italy), extends the panel of novel atypical BTV strains.	Marcacci et al.	M. Marcacci, S. Sant, I. Mangone, M. Goria, A. Dondo, S. Zoppi, R. G. P. van Gennip, M. C. Radaelli, C. Cammà, P. A. van Rijn, G. Savini and A. Lorusso	2018	Transbound Emerg Dis	65	2	370-374		https://doi.org/10.1111/tbed.12822
29392498	Full genome sequence of the first bluetongue virus serotype 21 (BTV-21) isolated from China: evidence for genetic reassortment between BTV-21 and bluetongue virus serotype 16 (BTV-16).	Qin et al.	S. Qin, H. Yang, Y. Zhang, Z. Li, J. Lin, L. Gao, D. Liao, Y. Cao, P. Ren, H. Li and J. Wu	2018	Arch. Virol.	163	5	1379-1382		https://doi.org/10.1007/s00705-018-3718-9
29386141	Analysis of bluetongue serotype 3 spread in Tunisia and discovery of a novel strain related to the bluetongue virus isolated from a commercial sheep pox vaccine.	Lorusso et al.	A. Lorusso, S. Sghaier, M. Di Domenico, M. E. Barbria, G. Zaccaria, A. Megdich, O. Portanti, I. B. Seliman, M. Spedicato, F. Pizzurro, I. Carmine, L. Teodori, M. Mahjoub, I. Mangone, A. Leone, S. Hammami, M. Marcacci and G. Savini	2018	Infect. Genet. Evol.	59		63-71		https://doi.org/10.1016/j.meegid.2018.01.025
29169390	Genomic analysis of bluetongue virus episystems in Australia and Indonesia.	Firth et al.	C. Firth, K. R. Blasdell, R. Amos-Ritchie, I. Sendow, K. Agnihotri, D. B. Boyle, P. Daniels, P. D. Kirkland and P. J. Walker	2017	Vet. Res.	48	1	82		https://doi.org/10.1186/s13567-017-0488-4
29120297	Recent US bluetongue virus serotype 3 isolates found outside of Florida indicate evidence of reassortment with co-circulating endemic serotypes.	Schirtzinger et al.	E. E. Schirtzinger, D. C. Jasperson, E. N. Ostlund, D. J. Johnson and W. C. Wilson	2018	J. Gen. Virol.	99	2	157-168		https://doi.org/10.1099/jgv.0.000965
29120083	Isolation and evolutionary analysis of Australasian topotype of bluetongue virus serotype 4 from India.	Reddy et al.	Y. V. Reddy, B. Susmitha, S. Patil, Y. Krishnajyothi, K. Putty, K. V. Ramakrishna, G. Sunitha, B. V. Devi, K. Kavitha, B. Deepthi, S. Krovvidi, Y. N. Reddy, G. H. Reddy, K. P. Singh, N. S. Maan, D. Hemadri, S. Maan, P. P. Mertens, N. R. Hegde and P. P. Rao	2018	Transbound Emerg Dis	65	2	547-556		https://doi.org/10.1111/tbed.12738
28918235	Identification of bluetongue virus serotypes 1, 4, and 17 co-infections in sheep flocks during outbreaks in Brazil.	Guimarães et al.	L. L. B. Guimarães, J. C. C. Rosa, A. C. D. Matos, R. A. S. Cruz, M. I. M. C. Guedes, F. A. Dorella, H. C. P. Figueiredo, S. P. Pavarini, L. Sonne, Z. I. P. Lobato and D. Driemeier	2017	Res. Vet. Sci.	113		87-93		https://doi.org/10.1016/j.rvsc.2017.09.001
28435199	Genetic characterization of the non-structural protein-3 gene of bluetongue virus serotype-2 isolate from India.	Pudupakam et al.	R. S. Pudupakam, S. Raghunath, M. Pudupakam and S. Daggupati	2017	Vet World	10	3	348-352		https://doi.org/10.14202/vetworld.2017.348-352
28341545	Novel putative Bluetongue virus in healthy goats from Sardinia, Italy.	Savini et al.	G. Savini, G. Puggioni, G. Meloni, M. Marcacci, M. Di Domenico, A. M. Rocchigiani, M. Spedicato, A. Oggiano, D. Manunta, L. Teodori, A. Leone, O. Portanti, F. Cito, A. Conte, M. Orsini, C. Cammà, P. Calistri, A. Giovannini and A. Lorusso	2017	Infect. Genet. Evol.	51		108-117		https://doi.org/10.1016/j.meegid.2017.03.021
28299883	A novel Bluetongue virus serotype 3 strain in Tunisia, November 2016.	Sghaier et al.	S. Sghaier, A. Lorusso, O. Portanti, M. Marcacci, M. Orsini, M. E. Barbria, A. S. Mahmoud, S. Hammami, A. Petrini and G. Savini	2017	Transbound Emerg Dis	64	3	709-715		https://doi.org/10.1111/tbed.12640
