sequenceID	isolateID	field	sequenceValue	isolateValue
KF986505	USA2006	collection_month_day	2	13
AJ586689	RSAvvvv_16	who_country.display_name	South Africa	Pakistan
AJ586697	RSArrrr_03	who_country.display_name	South Africa	Cyprus
AJ586699	RSArrrr_04	who_country.display_name	South Africa	Cyprus
AJ586709	RSArrrr_10	who_country.display_name	South Africa	Portugal
AJ586719	RSArrrr_16*	who_country.display_name	South Africa	Pakistan
AJ586720	RSArrrr_17	who_country.display_name	South Africa	United States
AJ586723	RSArrrr_20	who_country.display_name	South Africa	Australia
AJ586724	RSArrrr_21	who_country.display_name	South Africa	Australia
AJ586727	RSArrrr_23	who_country.display_name	South Africa	Australia
AJ631215	ITL2003_01	place_sampled	Sicily	Nissoria-Enna-Sicily
AJ631217	IND1988_02	place_sampled	Maharastra	Maharashtra-Rahuri
AJ783902	IND2003_04	place_sampled	Tamil Nadu	Coimbatore-Tamil Nadu
AJ783903	IND2003_05	place_sampled	Tamil Nadu	Thoothukudi-Tamil Nadu
AJ783904	IND2003_01	place_sampled	Tamil Nadu	Tiruneveli-Tamil Nadu
AJ783905	IND2003_02_tissue_2	place_sampled	Tamil Nadu	Tiruneveli-Tamil Nadu
AJ783906	IND2003_03	place_sampled	Tamil Nadu	Tiruneveli-Tamil Nadu
AJ783908	SPA2003_01	place_sampled	Balearic Islands	Menorca
AJ783909	SPA2003_02	place_sampled	Balearic Islands	Menorca
AJ783910	SPA2003_01	place_sampled	Balearic Islands	Menorca
AJ783911	SPA2003_02	place_sampled	Balearic Islands	Menorca
AM900375	RSArrrr_09	collection_year	1970	1942
AM900380	RSArrrr_19	collection_year	1975	1976
AM900380	RSArrrr_19	who_country.display_name	Australia	South Africa
AM900383	SUD1987_01	collection_year	2006	1987
AM900384	RSArrrr_01_reference	place_sampled	Natal, Vryheid	Biggarsberg-Vryheid-Natal
DQ186794	RSArrrr_04	who_country.display_name	South Africa	Cyprus
DQ191261	14643-2808	place_sampled	Sardinia region	Castiadas-Sardinia
DQ191262	10500-3	place_sampled	Sicily region	Giardinello-Sicily
DQ191263	10670	place_sampled	Calabria region	Careri-Calabria
DQ191264	14808-249	place_sampled	Lazio region	Aprilia-Lazio
DQ191265	17356	place_sampled	Sardinia region	Seui-Sardinia
DQ191266	80199	place_sampled	Tuscany region	Magliano-Tuscany
DQ191267	80273	place_sampled	Sardinia region	Urzulei-Sardinia
DQ191268	80296	place_sampled	Lazio region	Cerveter-Lazio
DQ191269	80302	place_sampled	Lazio region	Montalto di Castro-Lazio
DQ191270	81640	place_sampled	Sicily region	Messina-Sicily
DQ191271	81641	place_sampled	Sicily region	Messina-Sicily
DQ191272	8340	place_sampled	Sardinia region	Castiadas-Sardinia
DQ191273	8602	place_sampled	Sardinia region	Oristano-Sardinia
DQ191274	87902	place_sampled	Campania region	S.Gregorio Magno-Campania
DQ191275	90726	place_sampled	Puglia region	Carpino-Puglia
DQ191276	82027	place_sampled	Calabria region	Sellia Marina-Calabria
DQ191282	11920	place_sampled	Calabria region	Bianco-Calabria
DQ191284	11508	place_sampled	Calabria region	Noepoli-Calabria
DQ191285	8368	place_sampled	Calabria region	Petrona-Calabria
DQ872902	Mehaboobnagar9_2002	place_sampled	Mahaboobnagar, Andhra Pradesh	Sudheer-Mehaboobnagar-Andhra Pradesh
