sequence_id	gb_segment_missing	gb_isolate_missing	gb_host_missing	gb_country_missing	gb_collection_year_missing	gb_collection_month_missing	gb_collection_month_day_missing	gb_serotype_missing		
KP821503										
KP821504			Culicoides imicola			APR	16			
KP821505						SEP				
KP821506						JUL	31			
KP821507						SEP	12			
KP821508						SEP	2			
KP821509						FEB	27			
KP821510						JUL	18			
KP821511						JUL	18			
KP821512										
KP821513										
KP821514						DEC	29			
KP821515						DEC	29			
KP821516						JAN	2			
KP821517						JUL	11			
KP821518						OCT				
KP821519						FEB	3			
KP821520						MAR				
KP821521										
KP821522										
KP821523						FEB	12			
KP821524						OCT	20			
KP821525						OCT	20			
KP821526						OCT	20			
KP821527						OCT	21			
KP821528						OCT	21			
KP821529										
KP821530										
KP821531										
KP821532										
KP821533										
KP821534										
KP821535						OCT	15			
KP821536						OCT	3			
KP821537						APR	13			
KP821538						NOV				
KP821539						NOV				
KP821540						NOV				
KP821541						NOV				
KP821542						OCT	13			
KP821543						SEP				
KP821544						OCT	28			
KP821545						OCT	28			
KP821546						OCT	28			
KP821547						OCT	29			
KP821548										
KP821549						NOV	17			
KP821550										
KP821551						AUG	10			
KP821552						SEP				
KP821553						OCT	11			
KP821554						NOV	27			
KP821555										
KP821556						AUG	7			
KP821557						JUL				
KP821558										
KP821559						SEP	21			
KP821560						AUG	14			
KP821561						SEP	29			
KP821562						NOV	3			
KP821563						SEP	29			
KP821564						NOV	25			
KP821565						APR	2			
KP821566						SEP	12			
KP821567						AUG	30			
KP821568						SEP				
KP821569						SEP				
KP821570										
KP821571										
KP821572						OCT	7			
KP821573						OCT				
KP821574										
KP821575						JAN				
KP821576						JAN	14			
KP821577						JAN				
KP821578						SEP				
KP821579						AUG				
KP821580						NOV	17			
KP821581										
KP821582										
KP821583										
KP821584						AUG	24			
KP821585						AUG	22			
KP821586						SEP	21			
KP821587										
KP821588										
KP821589						FEB	12			
KP821590						OCT				
KP821591						NOV	18			
KP821592										
KP821593						AUG	19			
KP821594						OCT				
KP821595						FEB	27			
KP821596						OCT	24			
KP821597										
KP821598										
KP821599						AUG				
KP821600						AUG	24			
KP821601						NOV	2			
KP821602						OCT	29			
KP821603						JUL	9			
KP821604						AUG	19			
KP821605						SEP	17			
KP821606						AUG	18			
KP821607						OCT	2			
KP821608						OCT	5			
KP821609						OCT	15			
KP821610						DEC	31			
KP821611						NOV	16			
KP821612						AUG	2			
KP821613						OCT				
KP821614						JUL	2			
KP821615						JUL	19			
KP821616						JUL	2			
KP821617						JUL	2			
KP821618						SEP	18			
KP821619						SEP	25			
KP821620						SEP	25			
KP821621										
KP821622										
KP821623										
KP821624										
KP821625										
KP821626						APR	16			
KP821627						SEP				
KP821628						JUL	31			
KP821629						SEP	12			
KP821630						SEP	2			
KP821631						FEB	27			
KP821632						JUL	18			
KP821633						JUL	18			
KP821634										
KP821635										
KP821636						DEC	29			
KP821637						DEC	29			
KP821638						JAN	2			
KP821639						JUL	11			
KP821640						OCT				
KP821641						FEB	3			
KP821642						MAR				
KP821643										
KP821644										
KP821645						FEB	12			
KP821646						OCT	20			
KP821647						OCT	20			
KP821648						OCT	20			
KP821649						OCT	21			
KP821650						OCT	21			
KP821651										
KP821652										
KP821653										
KP821654										
KP821655										
KP821656										
KP821657						OCT	15			
KP821658						OCT	3			
KP821659						APR	13			
KP821660						NOV				
KP821661						NOV				
KP821662						NOV				
KP821663						NOV	17			
KP821664						OCT	13			
KP821665						SEP				
KP821666						OCT	28			
KP821667						OCT	28			
KP821668						OCT	28			
KP821669						OCT	29			
KP821670										
KP821671						NOV	17			
KP821672										
KP821673						AUG	10			
KP821674						SEP				
KP821675						OCT	11			
KP821676						NOV	27			
KP821677										
KP821678						AUG	7			
KP821679						JUL				
KP821680										
KP821681						SEP	21			
KP821682						AUG	14			
KP821683						SEP	29			
KP821684						NOV	3			
KP821685						SEP	29			
KP821686						NOV	25			
KP821687						APR	2			
KP821688						SEP	12			
KP821689						AUG	30			
KP821690						SEP				
KP821691						SEP				
KP821692										
KP821693										
KP821694						OCT	7			
KP821695						OCT				
KP821696										
KP821697						JAN				
KP821698						JAN	14			
KP821699						JAN				
KP821700						SEP				
KP821701						AUG				
KP821702						NOV	17			
KP821703										
KP821704						AUG	24			
KP821705						AUG	22			
KP821706						SEP	21			
KP821707										
KP821708										
KP821709						FEB	12			
KP821710						OCT				
