taxon	country_iso	country_display_name	region	sub_region	host	isolate_display_name	year	accession
alignment/PHYLO_UNC_S10/member/ncbi-curated/AB473808	JPN	Japan	asia	eastern_asia	Ovis aries	TO 4-3	1994	AB473808
alignment/PHYLO_UNC_S10/member/ncbi-curated/AB504736	JPN	Japan	asia	eastern_asia	Culicoides sp.	ON-2/C/03	2003	AB504736
alignment/PHYLO_UNC_S10/member/ncbi-curated/AF044372	USA	United States	americas	northern_america	Ovis aries	BTV 10 ATCC	1953	AF044372
alignment/PHYLO_UNC_S10/member/ncbi-curated/AF044373	USA	United States	americas	northern_america	Ovis aries	BTV 11 ATCC	1962	AF044373
alignment/PHYLO_UNC_S10/member/ncbi-curated/AF044374	USA	United States	americas	northern_america	Bos taurus	BTV 13 ATCC	1967	AF044374
alignment/PHYLO_UNC_S10/member/ncbi-curated/AF044375	USA	United States	americas	northern_america	Ovis aries	BTV 17 ATCC	1962	AF044375
alignment/PHYLO_UNC_S10/member/ncbi-curated/AF044376	USA	United States	americas	northern_america	-	VAC10	-	AF044376
alignment/PHYLO_UNC_S10/member/ncbi-curated/AF044377	USA	United States	americas	northern_america	-	VAC11	-	AF044377
alignment/PHYLO_UNC_S10/member/ncbi-curated/AF044378	USA	United States	americas	northern_america	-	VAC17	-	AF044378
alignment/PHYLO_UNC_S10/member/ncbi-curated/AF044379	USA	United States	americas	northern_america	Bos taurus	10B80Z	1980	AF044379
alignment/PHYLO_UNC_S10/member/ncbi-curated/AF044380	USA	United States	americas	northern_america	Ovis aries	10O80Z_Riverside	1980	AF044380
alignment/PHYLO_UNC_S10/member/ncbi-curated/AF044381	USA	United States	americas	northern_america	Bos taurus	10B81U	1981	AF044381
alignment/PHYLO_UNC_S10/member/ncbi-curated/AF044382	USA	United States	americas	northern_america	Bos taurus	10B81X	1981	AF044382
alignment/PHYLO_UNC_S10/member/ncbi-curated/AF044383	USA	United States	americas	northern_america	Bos taurus	11B81P	1981	AF044383
alignment/PHYLO_UNC_S10/member/ncbi-curated/AF044384	USA	United States	americas	northern_america	Bos taurus	10B90Z_Riverside	1990	AF044384
alignment/PHYLO_UNC_S10/member/ncbi-curated/AF044385	USA	United States	americas	northern_america	Ovis aries	10O90H	1990	AF044385
alignment/PHYLO_UNC_S10/member/ncbi-curated/AF044386	USA	United States	americas	northern_america	Ovis aries	11O79X	1979	AF044386
alignment/PHYLO_UNC_S10/member/ncbi-curated/AF044702	USA	United States	americas	northern_america	Bos taurus	11B80Z	1980	AF044702
alignment/PHYLO_UNC_S10/member/ncbi-curated/AF044703	USA	United States	americas	northern_america	Capra hircus	11C81Z	1981	AF044703
alignment/PHYLO_UNC_S10/member/ncbi-curated/AF044704	USA	United States	americas	northern_america	Ovis aries	11O81X	1981	AF044704
alignment/PHYLO_UNC_S10/member/ncbi-curated/AF044705	USA	United States	americas	northern_america	Bos taurus	17B80Z	1980	AF044705
alignment/PHYLO_UNC_S10/member/ncbi-curated/AF044706	USA	United States	americas	northern_america	Ovis aries	17O79Y	1979	AF044706
alignment/PHYLO_UNC_S10/member/ncbi-curated/AF044707	USA	United States	americas	northern_america	Bos taurus	17B81Y	1981	AF044707
alignment/PHYLO_UNC_S10/member/ncbi-curated/AF044708	USA	United States	americas	northern_america	Bos taurus	17B90Z_Riverside	1990	AF044708
alignment/PHYLO_UNC_S10/member/ncbi-curated/AF044709	USA	United States	americas	northern_america	Ovis aries	17O90Y	1990	AF044709
alignment/PHYLO_UNC_S10/member/ncbi-curated/AF044710	USA	United States	americas	northern_america	Bos taurus	13B89Z_Riverside	1989	AF044710
alignment/PHYLO_UNC_S10/member/ncbi-curated/AF044711	USA	United States	americas	northern_america	Bos taurus	13B80Z	1980	AF044711
alignment/PHYLO_UNC_S10/member/ncbi-curated/AF044712	USA	United States	americas	northern_america	Bos taurus	13B81K	1981	AF044712
alignment/PHYLO_UNC_S10/member/ncbi-curated/AF044713	USA	United States	americas	northern_america	Ovis aries	13O79Z	1979	AF044713
alignment/PHYLO_UNC_S10/member/ncbi-curated/AF135223	CHN	China	asia	eastern_asia	Ovis aries	Y863_1986	1986	AF135223
alignment/PHYLO_UNC_S10/member/ncbi-curated/AF135224	CHN	China	asia	eastern_asia	Bos taurus	V440	1996	AF135224
alignment/PHYLO_UNC_S10/member/ncbi-curated/AF135225	CHN	China	asia	eastern_asia	Bos taurus	V349	1996	AF135225
alignment/PHYLO_UNC_S10/member/ncbi-curated/AF135226	CHN	China	asia	eastern_asia	Bos taurus	V413	1996	AF135226
alignment/PHYLO_UNC_S10/member/ncbi-curated/AF135227	CHN	China	asia	eastern_asia	Bos taurus	V442	1996	AF135227
alignment/PHYLO_UNC_S10/member/ncbi-curated/AF135228	CHN	China	asia	eastern_asia	Bos taurus	V447	1996	AF135228
alignment/PHYLO_UNC_S10/member/ncbi-curated/AF135229	CHN	China	asia	eastern_asia	Ovis aries	SW	1988	AF135229
alignment/PHYLO_UNC_S10/member/ncbi-curated/AF135230	USA	United States	americas	northern_america	-	BTV2 ATCC MD	-	AF135230
alignment/PHYLO_UNC_S10/member/ncbi-curated/AF397280	USA	United States	americas	northern_america	Culicoides sonorensis	Pool A8	-	AF397280
alignment/PHYLO_UNC_S10/member/ncbi-curated/AF397281	USA	United States	americas	northern_america	Ovis aries	1032	-	AF397281
alignment/PHYLO_UNC_S10/member/ncbi-curated/AF397282	USA	United States	americas	northern_america	Ovis aries	2442	-	AF397282
alignment/PHYLO_UNC_S10/member/ncbi-curated/AF397283	USA	United States	americas	northern_america	Ovis aries	595	-	AF397283
alignment/PHYLO_UNC_S10/member/ncbi-curated/AF397284	USA	United States	americas	northern_america	Ovis aries	925	-	AF397284
alignment/PHYLO_UNC_S10/member/ncbi-curated/AF397285	USA	United States	americas	northern_america	Ovis aries	926	-	AF397285
alignment/PHYLO_UNC_S10/member/ncbi-curated/AF397286	USA	United States	americas	northern_america	Culicoides sonorensis	Pool B1	-	AF397286
alignment/PHYLO_UNC_S10/member/ncbi-curated/AF397287	USA	United States	americas	northern_america	Culicoides sonorensis	Pool B10	-	AF397287
alignment/PHYLO_UNC_S10/member/ncbi-curated/AF397288	USA	United States	americas	northern_america	Culicoides sonorensis	Pool B6	-	AF397288
alignment/PHYLO_UNC_S10/member/ncbi-curated/AF397289	USA	United States	americas	northern_america	Culicoides sonorensis	Pool B8	-	AF397289
alignment/PHYLO_UNC_S10/member/ncbi-curated/AF397290	USA	United States	americas	northern_america	Culicoides sonorensis	Pool B7	-	AF397290
alignment/PHYLO_UNC_S10/member/ncbi-curated/AF397291	USA	United States	americas	northern_america	Culicoides sonorensis	Pool C10	-	AF397291
alignment/PHYLO_UNC_S10/member/ncbi-curated/AF397292	USA	United States	americas	northern_america	Culicoides sonorensis	Pool C11	-	AF397292
alignment/PHYLO_UNC_S10/member/ncbi-curated/AF397293	USA	United States	americas	northern_america	Culicoides sonorensis	Pool D12	-	AF397293
